a,alay
aoç,atatürk orman çiftliği
aöb,avrupa ödemeler birliği
aöf,açıköğretim fakültesi
ap,abd haber ajansı (associated press)
apa,avrupa para anlaşması
apb,avrupa para birliği
ape,avrupa para enstitüsü
apec,bk. apiib (asia pacific economic cooperation)
apf,arap para fonu
apiib,asya pasifik iktisadi iş birliği
apö,avrupa parlamenterler örgütü
aps,acele posta servisi
apt.,apartman, apartmanı
ar.,arapça
arel,istanbul arel üniversitesi
ar-ge,araştırma geliştirme
ark.,arkeoloji
arş. gör.,araştırma görevlisi
as.,asker, askerî, askerlik
as. iz.,askerî inzibat
asal,asker alma dairesi başkanlığı
asb.,astsubay
asean,bk. gaut
aselsan,askerî elektronik sanayii
asf,avrupa sosyal fonu
asigm,adli sicil ve istatistik genel müdürlüğü
ask,avrupa standartlar komitesi
aski,ankara su ve kanalizasyon idaresi
aso,ankara sanayi odası
ast,ankara sanat tiyatrosu
astb,1. amerika serbest ticaret bölgesi 2. avrupa serbest ticaret birliği
astr.,astronomi
astrol.,astroloji
asü,aksaray üniversitesi
aş,anonim şirket
aşti,ankara şehirler arası terminal işletmesi
at,avrupa topluluğu
atad,avrupa toplulukları adalet divanı
atam,atatürk araştırma merkezi
atatürk üni,atatürk üniversitesi
atb,asya takas birliği
atğm.,asteğmen
atk,adli tıp kurumu
atm.,atmosfer
ato,ankara ticaret odası
atü,atılım üniversitesi
atygf,avrupa tarımsal yönlendirme ve garanti fonu
aua,avrupa uzay ajansı
aü,1. ankara üniversitesi 2. ardahan üniversitesi
av.,avukat
avm,alışveriş merkezi
ayb,1. avrupa yayın birliği 2. avrupa yatırım bankası
ayim,askerî yüksek idare mahkemesi
aym,anayasa mahkemesi
b,1. batı 2. bay
badet,batı afrika devletleri ekonomik topluluğu
bae,birleşik arap emirlikleri
bağ.,bağlaç
bağ-kur,esnaf ve sanatkârlar ve diğer bağımsız çalışanlar sosyal sigortalar kurumu
bakb,batı afrika kalkınma bankası
basagm,başbakanlık aile ve sosyal araştırmalar genel müdürlüğü
bat,bk. tbb (the banks association of turkey)
bato,batı afrika takas odası
baü,balıkesir üniversitesi
bay üni,bayburt üniversitesi
bbc,ingiliz radyo televizyon kurumu (british broadcasting corporation)
bcg,verem aşısı (bacillus calmette guèrin)
bçvş.,başçavuş
bd,bilim dalı
bddk,bankacılık düzenleme ve denetleme kurulu
bdt,bağımsız devletler topluluğu
be,büyükelçi
berd,bk. aikb (european bank for reconstruction and development)
beü,bitlis eren üniversitesi
bib,bayındırlık ve iskân bakanlığı
bik,basın ilan kurumu
bis,bk. uöb (bank for international settlements)
bit. b.,bitki bilimi
biy.,biyoloji
bk.,bakınız
bl.,bilişim
bl.,bölük
bm,birleşmiş milletler
bmaek,birleşmiş milletler avrupa ekonomik komisyonu
bmçyt,birleşmiş milletler çocuklara yardım teşkilatı
bmebkt,birleşmiş milletler eğitim, bilim ve kültür teşkilatı
bmskö,birleşmiş milletler sınai kalkınma örgütü
bmt,birleşmiş milletler teşkilatı
bmtkk,birleşmiş milletler ticaret ve kalkınma konferansı
bmyri,birleşmiş milletler yardım ve rehabilitasyon idaresi
bn.,bayan
bnb.,binbaşı
boad,bk. bakb
boren,ulusal bor araştırma enstitüsü
bot.,bk. bit. b.
botaş,boru hatları ile petrol taşıma anonim şirketi
böl.,bölüm
brt,bartın üniversitesi
bs.,baskı, basım
bsec,bk. kei (black sea economic cooperation pact)
bstdb,bk. ktkb
bşk.,başkan, başkanlık, başkanı, başkanlığı
btf,başbakanlık tanıtma fonu kurulu
btk,bilgi teknolojileri ve iletişim kurumu
btü,batman üniversitesi
bue,bk. abb (bank of union european)
bul.,bulvar, bulvarı
bulg.,bulgarca
bü,1. bahçeşehir üniversitesi 2. başkent üniversitesi 3. bilecik üniversitesi 4. bingöl üniversitesi 5. boğaziçi üniversitesi 6. bozok üniversitesi
bümko,bütçe ve mali kontrol genel müdürlüğü
bvü,bezmiâlem vakıf üniversitesi
byegm,basın-yayın ve enformasyon genel müdürlüğü
c,cilt
cacm,bk. oaop (central american common market)
cad.,cadde, caddesi
caec,bk. akpm (consultative assembly of european council)
cao,bk. shö (civil aviation organization)
caricom,bk. ktop
cbü,celâl bayar üniversitesi
cc,konsolosluk birimi (corps consulaire)
cd,1. kordiplomatik (corps diplomatique) 2. bk. yd (compact disc)
cdb,bk. kkb (caribbean development bank)
cdh,bk. aihad (cour europeenne des droits de l’homme)
ce,bk. ak (council of europe)
ceap,bk. apiib (asia pacific economic cooperation)
ceca,bk. akçt (european coal and steel community)
cedh,bk. aihm (european court of human rights)
cee,bk. aet (european economic community)
cei,bk. bdt (commonwealth of independent states)
cen,bk. ask
centcom,bk. amk
cento,bk. maö (central treaty organization)
cern,bk. anam (conseil européen pour la recherche nucléaire, european organization for nuclear research)
cgs,uluslararası fizik birimleri sistemi
cia,bk. mhat (central intelligence agency)
cif,maliyet-sigorta-navlun (cost, insurance, freight)
cigm,ceza işleri genel müdürlüğü
cij,bk. uad (international court of justice)
cios,bk. ubok (conseil international pour l’organisation scientifique)
cip,1. taşıma ve sigorta bedeli ödenmiş olarak teslim. 2.ticaretle uğraşan önemli kişiler (commercially important person)
cis,bk. bdt (commonwealth of independent states)
cjce,bk. atad (european court of justice)
cm,santimetre
cmea,bk. keyk (council for mutual economic aid)
cmk,ceza muhakemesi kanunu
cmuk,ceza muhakemeleri usulü kanunu
cnrs,bk. ubam (centre national de la recherche scientifique)
coğ.,coğrafya
comcec,bk. isedak (standing committee for economic and commercial cooperation of the organization of the islamic conference)
comecon,bk. keyk (council for mutual economic aid)
comesa,bk. gdaop (common market for eastern and southern africa)
cos,kosinüs
cso,cumhurbaşkanlığı senfoni orkestrası
ctc,bk. uşm (center on transnational corporations)
cte,ceza ve tevkifevleri genel müdürlüğü
cum. bşk.,cumhurbaşkanı, cumhurbaşkanlığı
cü,cumhuriyet üniversitesi
çağ üni,çağ üniversitesi
çasgem,çalışma ve sosyal güvenlik eğitim ve araştırma merkezi
çaykur,çay işletmeleri genel müdürlüğü
çed,çevresel etki değerlendirmesi ve planlama genel müdürlüğü
çev.,çeviren
çgm,çalışma ve sosyal güvenlik bakanlığı çalışma genel müdürlüğü
çnü,çankırı karatekin üniversitesi
çomü,çanakkale onsekiz mart üniversitesi
çs,çimento sanayisi
çsgb,çalışma ve sosyal güvenlik bakanlığı
çukobirlik,çukurova pamuk tarım satış kooperatifleri birliği
çü,1. çankaya üniversitesi. 2. çukurova üniversitesi
çvş.,çavuş
çygm,1. çevre yönetimi genel müdürlüğü 2. çıraklık ve yaygın eğitim genel müdürlüğü
d,doğu
dagm,devlet arşivleri genel müdürlüğü
dakb,doğu afrika kalkınma bankası
dal,dekalitre
dam,dekametre
dap,doğu anadolu projesi
dat,doğu afrika topluluğu
db,dünya bankası
db.,dil bilgisi
dbafit,dünya bankalar arası finansal iletişim topluluğu
ddb,dernekler dairesi başkanlığı
ddt,böcek öldü­rücü (dichloro-diphenol-trichloro-ethane)
ddy,devlet deniz yolları
desiyab,devlet sanayi ve işçi yatırım bankası
deü,dokuz eylül üniversitesi
dfif,destekleme ve fiyat istikrar fonu
dfmhö,dünya fikrî mülkiyet hakları örgütü
dg,desigram
dgk,dünya gıda konseyi
dgm,devlet güvenlik mahkemesi
dgö,dünya gümrük örgütü
dgs,dikey geçiş sınavı
dhmi,devlet hava meydanları işletmesi
dib,diyanet işleri başkanlığı
die,devlet istatistik enstitüsü
dil b.,dil bilimi
diyih,çalışma ve sosyal güvenlik bakanlığı dış ilişkiler ve yurt dışı işçi hizmetleri genel müdürlüğü
dk.,dakika
dkk,deniz kuvvetleri komutanlığı
dkmp,doğa koruma ve millî parklar genel müdürlüğü
dl,desilitre
dlh,demiryollar limanlar ve hava meydanları inşaatı genel müdürlüğü
dm,desimetre
dmi,devlet meteoroloji işleri genel müdürlüğü
dmo,devlet malzeme ofisi
dna,deoksirübo nükleik asit
dobgm,devlet opera ve balesi genel müdürlüğü
doç.,doçent
doğ.,doğum tarihi
doü,doğuş üniversitesi
dögm,din öğretimi genel müdürlüğü
dösim,kültür ve turizm bakanlığı döner sermaye işletmesi merkez müdürlüğü
dpb,devlet planlama başkanlığı
dpt,devlet planlama teşkilatı müsteşarlığı
dpü,dumlupınar üniversitesi
dr.,doktor
drl.,derleyen
dsi,devlet su işleri genel müdürlüğü
dso,devlet sanayi ofisi
dsö,dünya sağlık örgütü
dt,devlet tiyatroları genel müdürlüğü
dtcf,dil ve tarih-coğrafya fakültesi
dtm,dış ticaret müsteşarlığı
dtö,dünya ticaret örgütü
dü,dicle üniversitesi
dvd,bk. syd (digital versatile disc)
dz. kuv.,deniz kuvvetleri 
dz. kuv. k.,deniz kuvvetleri komutanı, komutanlığı
dzl.,düzenleyen
e,eczane
eac,1. bk. aibö (european association for cooperation) 2. bk. dat (the east african community)
eadb,bk. dakb (east african development bank)
eaec,bk. aaet (european atomic energy community)
eaggf,bk. atygf (european agricultural guidance and guarantee fund)
eat,eski anadolu türkçesi
ebk,et ve balık kurumu genel müdürlüğü
ebrd,bk. aikb (european bank for reconstruction and development
ebu,bk. ayb (european broadcasting union)
ebwe,bk. aikb (european bank for reconstruction and development)
ec,bk. at (european community)
ecb,bk. amb (european central bank)
ece,bk. bmaek (united nations economic commission for europe)
echr,bk. aihm (european court of human rights)
ecj,bk. atad (european court of justice)
ecla,bk. lakek (the economic commission for latin america and caribbean)
ecowas,bk. badet (economic community of west african states)
ecsc,bk. akçt (european coal and steel community)
ecz.,eczacı
ed.,1. edebiyat 2. editör
e. ,edat
eec,bk. aet (european economic community)
eeg,beyin akım grafiği (elektroensefalogram)
eft,bankalar arası para aktarımı (electronic fond transfer)
efta,bk. astb (european free trade area/association)
egm,emniyet genel müdürlüğü
egmr,bk. aihm (european court of human rights)
ego,ankara belediyesi elektrik, gaz, otobüs işletmeleri
eğitek,eğitim teknolojileri genel müdürlüğü
eib,bk. ayb (european investment bank)
eibkt,ekonomik iş birliği ve kalkınma teşkilatı
eibö,ekonomik iş birliği örgütü
eiei,elektrik işleri etüt idaresi genel müdürlüğü
ekg,kalp akım grafiği (elektrokardiyogram)
ekon.,ekonomi
emg,kas akım grafiği (electromyographie)
emi,bk. ape (european monetary institute)
emk,elektromotor kuvvet
emu,bk. aipb (european monetary union)
ens.,enstitü, enstitüsü
epa,bk. apö (european parliamentary association)
epdk,enerji piyasası düzenleme kurulu
epu,bk. aöb (european payments union)
erdemir,ereğli demir çelik fabrikaları
erdf,bk. abkf (european regional development fund)
erm.,ermenice
erü,erciyes üniversitesi
esa,bk. aua (european space agency)
esf,bk. asf (european social fund)
esgm,esnaf ve sanatkârlar genel müdürlüğü
eshot,izmir belediyesi elektrik, su, hava gazı, otobüs, tramvay işletmeleri
esogü,eskişehir osmangazi üniversitesi
et,eski türkçe
etkb,enerji ve tabii kaynaklar bakanlığı
etogm,erkek teknik öğretim genel müdürlüğü
eu,bk. ab (european union)
eugh,bk. atad (european court of justice)
euratom,bk. aaet (european atomic energy community)
eü,1. ege üniversitesi 2. erzincan üniversitesi
eüaş,elektrik üretim anonim şirketi
ewg,bk. aet (european economic community)
eximbank,türkiye ihracat ve kredi bankası
f.,fiil
f,fiyat, fiyatı
fab,federal araştırma bürosu
fac,bk. yibf
fak.,fakülte
fak-fuk fon,sosyal yardımlaşma ve dayanışmayı teşvik fonu
fao,bk. gtö (united nations food and agricultural organization)
far.,farsça
fba,fransız basın ajansı
fbi,bk. fab (federal bureau of investigation)
fel.,felsefe
fiba,bk. ubf (fédération internationale de basketball association)
fide,bk.usf (fédération internationale des échecs)
fides,bk. iskyf
fifa,bk. uff (fédération internationale de football association)
fil.,filoloji, filolojisi
fila,bk. uagf (fédération internationale des luttes associées)
fir,uçuş hattı düzenlemesi (flight information region)
fiskobirlik,fındık tarım satış kooperatifleri birliği
fiz.,fizik
fizy.,fizyoloji
fkb,fizik, kimya, biyoloji
fm,frekans modülasyonu (frequency modulation)
fmviü,işık üniversitesi
fob,malın belirlenen limanda gemi üzerindeki teslim fiyatı (free on board)
fr.,fransızca
frb,bk. amb (federal reserve bank)
fsmvü,fatih sultan mehmet vakıf üniversitesi
ftaa,bk. astb (free trade area of the americas)
fü,1. fatih üniversitesi 2. fırat üniversitesi
g,gram
g,güney
gamhk,güney avrupa müttefik hava kuvvetleri
gap,güneydoğu anadolu projesi
gapbki,gap bölge kalkınma idaresi başkanlığı
gata,gülhane askerî tıp akademisi
gaut,güneydoğu asya uluslar topluluğu
gazü,gaziantep üniversitesi
gb,1. bilgisayarda bellek birimi (gigabyte) 2. güneybatı 3.gümrük birliği
gbt,genel bilgi taraması
gd,güneydoğu
gdaop,güney ve doğu afrika ortak pazarı
gdzü,gediz üniversitesi
gen.,general
geom.,geometri
gib,gelir idaresi başkanlığı
gigm,başbakanlık güvenlik işleri genel müdürlüğü
gn.,genel
gnkur.,genelkurmay
goü,gaziosmanpaşa üniversitesi
gön.,gönderen
gr.,gramer
grt,groston
gsgm,1.gençlik ve spor genel müdürlüğü 2. güzel sanatlar genel müdürlüğü
gsm,mobil cep telefonu (global system for mobile communications)
gsmh,gayrisafi millî hasıla
gsü,galatasaray üniversitesi
gsyh,gayrisafi yurt içi hasıla
gtö,gıda ve tarım örgütü
gus,bk. bdt (commonwealth of independent states)
gü,1. gazi üniversitesi 2. giresun üniversitesi 3. gümüşhane üniversitesi
gyd,görüntülü yoğun disk
gyte,gebze yüksek teknoloji enstitüsü
gzk,gazikent üniversitesi
h,1. hicri 2. hastane, hastanesi
ha,harp akademisi
habitat,birleşmiş milletler insan yerleşimleri konferansı (centre for human settlements)
haccp,kritik kontrol noktalarında tehlike analizi
havaş,hava alanları ve yer hizmetleri genel müdürlüğü
hay. b.,hayvan bilimi
haz.,hazırlayan
hdd,ana bellek sürücüsü (hard disk drive)
hek.,hekimlik, hekim, hekimi
hgk,harita genel komutanlığı
hgm,haberleşme genel müdürlüğü
hiv,aids hastalığına neden olan virüs (human immunodeficiency virus)
hitü,hitit üniversitesi
hkk,hava kuvvetleri komutanlığı
hl,hektolitre
hlk.,halk ağzı
hm,hazine müsteşarlığı
hm,hektometre
hmuk,hukuk muhakemeleri usulü kanunu
ho,harp okulu
hrü,harran üniversitesi
hs. uzm.,hesap uzmanı
hssgm,sağlık bakanlığı hudut ve sahiller sağlık genel müdürlüğü
huk,maliye bakanlığı hesap uzmanları kurulu başkanlığı
huk.,hukuk
hü,hacettepe üniversitesi
hv. kuv.,hava kuvvetleri
hv. kuv. k.,hava kuvvetleri komutanı, komutanlığı
hz. öz.,hizmete özel
hz.,1. hazret, hazreti 2. hizmet, hizmette
iğdü,iğdır üniversitesi
iaaf,bk. uaaf (international amateur athletic federation)
iaea,bk. uaea (international atomic energy agency)
iata,bk. uhtb (international air transport association)
iaü,istanbul aydın üniversitesi
ibec,bk. ueibb (international bank for economic corporation)
ibr.,ibranice
ibrd,bk. uikb (international bank for reconstruction and development)
ibü,istanbul bilim üniversitesi
ibün,istanbul bilgi üniversitesi
icao,bk. ushö (international civil aviation organization)
icc,bk. uto (international chambers of commerce)
icic,bk. uhik (islamic committee of the international crescent)
icj,bk. uad (international court of justice)
icrc,bk. ukk (international committee of the red cross)
icsid,bk. uyaçm (international center of the settlement of investment disputes)
ida,bk. uka (international development agency)
idb,bk. ikb (islamic development bank)
idbü,ihsan doğramacı bilkent üniversitesi
idt,iktisadi devlet teşekkülleri
iea,bk. uea (international energy agency)
iegm,ilaç ve eczacılık genel müdürlüğü
iett,istanbul elektrik, tünel, tramvay işletmesi
ieü,izmir ekonomi üniversitesi
ifad,bk. utkf (international fund for agricultural development)
ifc,bk. ufk (international finance corporation)
ifoam,bk. uethf (international federation of organic agriculture movements)
igb,başbakanlık idareyi geliştirme başkanlığı
igeme,ihracatı geliştirme etüd merkezi
igh,bk. uad (international court of justice)
igm,ilköğretim genel müdürlüğü
ihb,insan hakları başkanlığı
ikb,islam kalkınma bankası
ikbü,istanbul kemerburgaz üniversitesi
ikö,islam konferansı örgütü
ikü,istanbul kültür üniversitesi
ikv,iktisadi kalkınma vakfı
ilbank,iller bankası genel müdürlüğü
ilo,bk. uçö (international labor organization)
imf,bk. upf (international monetary fund)
imkb,istanbul menkul kıymetler borsası
imo,bk. udö (international maritime organization)
ing.,ingilizce
interpol,uluslararası cinayet polisi komisyonu (international criminal police commission)
io,ilköğretim okulu
ioc,bk. uok (international olympic committee)
ipi,bk. ube (international press institute)
iro,bk. umt (international refugee organization)
is.,isim
isbn,uluslararası standart kitap numarası (international standard book number)
isdemir,iskenderun demir çelik fabrikaları
isedak,islam konferansı örgütü ekonomik ve ticari iş birliği daimî komitesi
isg,iş sağlığı ve güvenliği genel müdürlüğü
iski,istanbul su ve kanalizasyon idaresi
iskyf,iktisadi ve sosyal kalkınma yatırım fonları
ismn,uluslararası standart müzik numarası (international standard music number)
iso,bk. usö (international organization for standardization)
iso,istanbul sanayi odası
isp.,ispanyolca
issn,uluslararası standart dizi numarası (international standard serial number)
işkur,türkiye iş kurumu
işl.,işleyen
işot,istanbul şehirler arası otobüs terminali
it.,italyanca
itb,istanbul ticaret borsası
itc,bk. utm (international trade center)
itg,iç ticaret genel müdürlüğü
iticü,istanbul ticaret üniversitesi
ito,birleşmiş milletler uluslararası ticaret birliği (international trade organization)
ito,istanbul ticaret odası
itü,istanbul teknik üniversitesi
iü,1. inönü üniversitesi 2. istanbul üniversitesi
iwf,bk. upf (international monetary fund)
iyte,izmir yüksek teknoloji enstitüsü
iztb,izmir ticaret borsası
izto,izmir ticaret odası
izü,izmir üniversitesi
j,jandarma
jal,bk. jhy (japan airlines)
jap.,japonca
jeol.,jeoloji
jgk,jandarma genel komutanlığı
jhy,japon hava yolları (japan airlines)
k,1. kuzey 2. komutan, komutanlığı
kal,kalori
kardemir,karabük demir çelik fabrikaları
kastb,kuzey amerika serbest ticaret bölgesi
kaü,kafkas üniversitesi
kb,kuzeybatı
kbb,kulak, burun, boğaz
kbü,karabük üniversitesi
kd,kuzeydoğu
kdv,katma değer vergisi
ked,kablosuz erişim düzeneği
kegm,kıyı emniyeti genel müdürlüğü
kei,karadeniz ekonomik iş birliği
keyk,karşılıklı ekonomik yardım konseyi
kg,kilogram
kgb,sovyet gizli haber alma teşkilatı (komitet gossudarrstvennoi bezopastnosti)
kgm,adalet bakanlığı kanunlar genel müdürlüğü
khk,kanun hükmünde kararname
khü,kadir has üniversitesi
khz,kilohertz
kibib,kalkınma için bölgesel iş birliği
kik,1. kamu ihale kurumu 2. kamu iktisadi kuruluşları
kim.,kimya
kit,kamu iktisadi teşekkülü
kiyü,kilis 7 aralık üniversitesi
kkb,karayip kalkınma bankası
kkgm,tarım ve köyişleri bakanlığı koruma ve kontrol genel müdürlüğü
kkk,kara kuvvetleri komutanlığı
kktc,kuzey kıbrıs türk cumhuriyeti
klü,kırklareli üniversitesi
km,kilometre
kms,kurumlar içi merkezî eleme sınavı
kmü,karamanoğlu mehmetbey üniversitesi
kobi,küçük ve orta boy (ölçekli) işletme
koi,kamu ortaklığı idaresi
koor.,koordinasyon
kor.,kolordu
kora.,koramiral
korg.,korgeneral
kosgeb,küçük ve orta ölçekli işletmeleri geliştirme ve destekleme idaresi başkanlığı
koü,kocaeli üniversitesi
kpds,kamu personeli yabancı dil bilgisi seviye tespit sınavı
kpss,kamu personel seçme sınavı
kr.,kuruş
krş.,karşılaştırınız
ksdb,kanserle savaş dairesi başkanlığı
ksgm,kadının statüsü genel müdürlüğü
ksü,kahramanmaraş sütçü imam üniversitesi
ktkb,karadeniz ticaret ve kalkınma bankası
kto-kü,kto karatay üniversitesi
ktop,karayip topluluğu ve ortak pazarı
ktögm,kız teknik öğretim genel müdürlüğü
ktü,karadeniz teknik üniversitesi
kugm,kara ulaştırma genel müdürlüğü
kur.,kurmay 
kur. bşk.,kurmay başkanı, başkanlığı
kü,1. kastamonu üniversitesi 2. kırıkkale üniversitesi 3. koç üniversitesi
kvmgm,kültür varlıkları ve müzeler genel müdürlüğü
kygm,kütüphaneler ve yayımlar genel müdürlüğü
l,litre
labb,latin amerika bütünleşme birliği
lafta,bk. lastb (latin america free trade area)
laia,bk. labb (latin american integration association)
lakek,latin amerika ve karayipler ekonomik komisyonu
lastb,latin amerika serbest ticaret bölgesi
lat.,latince
lcv,lütfen cevap veriniz
les,lisansüstü eğitim giriş sınavı
lp,uzunçalar (long play)
lpg,sıvılaştırılmış petrol gazı (liquified petroleum gas)
ltd.,limitet
lys,lisans yerleştirme sınavı
m,metre
m,miladi
mac.,macarca
mah.,1. mahalle, mahallesi 2. mahkeme, mahkemesi
makü,mehmet akif ersoy üniversitesi
man.,mantık
maö,merkezî antlaşma örgütü
masak,mali suçları araştırma kurulu başkanlığı
mat.,matematik
maü,1. mardin artuklu üniversitesi 2. muş alparslan üniversitesi
mb,1. maliye bakanlığı 2. bilgisayarda bellek birimi (megabyte)
md.,müdür, müdürlük, müdürlüğü
meb,millî eğitim bakanlığı
mec.,mecaz
meü,mersin üniversitesi
mgk,millî güvenlik kurulu genel sekreterliği
mgm,1. içişleri bakanlığı mahalli idareler genel müdürlüğü 2. maliye bakanlığı muhasebat genel müdürlüğü
mğü,muğla üniversitesi
mhat,merkezî haber alma teşkilatı
mhz,megahertz
migem,maden işleri genel müdürlüğü
mile,millî emlak genel müdürlüğü
mim.,mimarlık
min.,mineraloji
mit,millî istihbarat teşkilatı müsteşarlığı
mk,medeni kanun
mkb,millî kütüphane başkanlığı
mke,makine ve kimya endüstrisi kurumu
mks,metre-kilogram-saat
mkü,mustafa kemal üniversitesi
mkyk,merkez karar yönetim kurulu
mm,milimetre
mobese,bölgesel güvenlik sistemi (mobil elekronik sistem entegrasyonu)
mossad,israil gizli haber alma örgütü
mö,milattan önce
mpi,millî piyango idaresi genel müdürlüğü
mpm,millî prodüktivite merkezi
mr,manyetik rezonans görüntüleme
ms,milattan sonra
msb,millî savunma bakanlığı
msgsü,mimar sinan güzel sanatlar üniversitesi
mta,maden tetkik ve arama genel müdürlüğü
mü,1. maltepe üniversitesi 2. marmara üniversitesi 3. melikşah üniversitesi
müh.,mühendis, mühendisi, mühendislik
mür.,müracaat
müz.,müzik
myk,1. mesleki yeterlilik kurumu 2. mülteciler yüksek komiserliği
nafta,bk. kastb (north american free trade area)
nasa,amerikan ulusal havacılık ve uzay araştırmaları merkezi(national aeronautics and space administration)
nato,kuzey atlantik antlaşması teşkilatı (north atlantic treaty organization)
neü,nevşehir üniversitesi
nğü,niğde üniversitesi
nkü,namık kemal üniversitesi
no.,numara
notam,havacılar ve denizciler için uyarı bildirimi (notice to airmen)
nö.,nöbetçi
nö. sb.,nöbetçi subayı
nvigm,nüfus ve vatandaşlık işleri genel müdürlüğü
oaci,bk. ushö (international civil aviation organization)
oae,bk. abö (organization of african unity)
oaib,orta anadolu ihracatçı birlikleri genel sekreterliği
oaop,orta amerika ortak pazarı
oapec,bk. pieaüö (organization of arab petroleum exporting countries)
oau,bk. abö (organization of african unity)
obesid,okul içi beden eğitimi spor ve izcilik dairesi başkanlığı
ocde,bk. eibkt (organization for economic cooperation and development)
oci,bk. ikö (organization of the islamic conference)
odtü,orta doğu teknik üniversitesi
odü,ordu üniversitesi
oecd,bk. eibkt (organization for economic cooperation and development)
oeec,bk. aeibö (organization for european economic cooperation)
ogm,1. orman genel müdürlüğü 2. ortaöğretim genel müdürlüğü
oic,bk. ikö (organization of the islamic conference)
oiec,bk. uiibö (organization for international economic cooperation)
okan,okan üniversitesi
okönegm,okul öncesi eğitimi genel müdürlüğü
okt.,okutman
okü,osmaniye korkut ata üniversitesi
omc,bk. dtö (world trade organization)
omi,bk. udö (international maritime organization)
omü,ondokuz mayıs üniversitesi
onb.,onbaşı
opec,bk. pieüt (organization of petroleum exporting countries)
opep,bk. pieüt (organization of petroleum exporting countries)
opr.,operatör
or.,ordu
ora.,oramiral
ord.,ordinaryüs
org.,orgeneral
orköy,orman-köy ilişkileri genel müdürlüğü
ort.,ortaklık, ortakları, ortaklığı
osb,organize sanayi bölgesi
osm. t.,osmanlı türkçesi
osze,bk. agit (organisation für sicherheit und zusammenarbeit in europa)
oua,bk. abö (organization of african unity)
oyak,ordu yardımlaşma kurumu
oyegm,öğretmen yetiştirme ve eğitimi genel müdürlüğü
öçkkb,özel çevre koruma kurumu başkanlığı
öib,özelleştirme idaresi başkanlığı
öl.,ölüm tarihi
öökgm,özel öğretim kurumları genel müdürlüğü
ör.,örnek
örgm,özel eğitim rehberlik ve danışma hizmetleri genel müdürlüğü
ösgm,sanayi ve ticaret bakanlığı ölçüler ve standartlar genel müdürlüğü
öss,öğrenci seçme sınavı
ösym,ölçme, seçme ve yerleştirme merkezi
ötv,özel tüketim vergisi
öyk,özelleştirme yüksek kurulu
öys,öğrenci yerleştirme sınavı
öz.,özel
özi,özürlüler idaresi başkanlığı
özü,özyeğin üniversitesi
paü,pamukkale üniversitesi
ped.,pedagoji
pen,bk. uyb (international association of poets, playwrights, editors, essayists and novelists)
